prism_psa_region_code,prism_region,prism_psa_province_code,province,prism_psa_municipal_code,municipality,prism_rice_area_2026s1,prism_planted_sep_2025,prism_planted_oct_2025,prism_planted_nov_2025,prism_planted_dec_2025,prism_planted_jan_2026,prism_planted_feb_2026,prism_planted_mar_2026,prism_harvested_dec_2025,prism_harvested_jan_2026,prism_harvested_feb_2026,prism_harvested_mar_2026,prism_harvested_apr_2026,prism_harvested_may_2026,prism_harvested_jun_2026,prism_growth_reproductive_ha,prism_growth_ripening_ha,prism_growth_harvested_ha,prism_standing_crop_area,prism_upcoming_harvest_area,prism_harvest_progress_pct,prism_dominant_growth_phase,prism_yield_area_ha,prism_production_mt,prism_yield_mt_ha,prism_flooded_nonrice_ha,prism_flooded_vegetative_ha,prism_flooded_reproductive_ha,prism_flooded_ripening_ha,prism_flooded_harvested_ha,prism_flooded_standing_crop_ha,prism_flooded_rice_total_ha,prism_flooded_reproductive_ripening_ha,prism_flooded_standing_share_pct,prism_flooded_rice_share_pct,prism_expected_production_at_risk_mt,prism_flood_damage_priority_score,prism_flood_damage_priority_class,prism_damage_event,prism_source_date
PH0200000000,REGION II (CAGAYAN VALLEY),PH0201500000,Cagayan,PH0201511000,Claveria,3192.92,0.00,0.00,15.36,244.48,1882.68,745.40,305.00,0.00,0.00,2.16,257.68,1518.20,1109.88,305.00,305.00,1662.32,1225.60,1967.32,1414.88,38.38,Ripening,3192.92,12719.27,3.98,241.00,0.56,0.00,0.00,0.00,0.56,0.56,0.00,0.03,0.02,2.23,0.17,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0201500000,Cagayan,PH0201512000,Enrile,3519.16,0.00,0.00,5.96,917.32,1616.36,475.56,503.96,0.00,0.00,2.36,920.92,1432.16,659.76,503.96,503.96,989.12,2026.08,1493.08,1163.72,57.57,Harvested,3519.16,14530.61,4.13,2482.84,2.88,0.00,0.00,0.00,2.88,2.88,0.00,0.19,0.08,11.89,0.96,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0201500000,Cagayan,PH0201513000,Gattaran,7014.12,0.00,0.00,0.00,1996.96,4083.12,524.04,410.00,0.00,0.00,0.00,1996.96,3757.00,850.16,410.00,410.00,1307.28,5296.84,1717.28,1260.16,75.52,Harvested,7014.12,28832.48,4.11,2355.20,3.56,0.00,0.00,0.00,3.56,3.56,0.00,0.21,0.05,14.63,1.13,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0201500000,Cagayan,PH0201514000,Gonzaga,4112.32,0.00,0.00,0.00,412.08,2935.08,463.08,302.08,0.00,0.00,0.00,412.08,2461.32,936.84,302.08,302.08,1420.52,2389.72,1722.60,1238.92,58.11,Harvested,4112.32,16233.24,3.95,337.80,1.20,0.00,0.00,0.00,1.20,1.20,0.00,0.07,0.03,4.74,0.38,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0201500000,Cagayan,PH0201515000,Iguig,1066.80,0.00,0.00,0.00,179.76,654.72,131.20,101.12,0.00,0.00,0.00,179.76,567.52,218.40,101.12,101.12,381.64,584.04,482.76,319.52,54.75,Harvested,1066.80,4253.05,3.99,704.24,0.08,0.00,0.00,0.00,0.08,0.08,0.00,0.02,0.01,0.32,0.05,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0201500000,Cagayan,PH0201516000,Lal-lo,4785.72,0.00,0.00,0.00,919.76,3087.16,435.12,343.68,0.00,0.00,0.00,919.76,2905.08,617.20,343.68,343.68,918.56,3523.48,1262.24,960.88,73.62,Harvested,4785.72,19667.27,4.11,2189.28,2.80,0.00,0.00,0.00,2.80,2.80,0.00,0.22,0.06,11.51,1.00,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0201500000,Cagayan,PH0201517000,Lasam,6518.84,0.00,0.00,5.00,1277.24,4360.20,573.52,302.88,0.00,0.00,0.68,1281.56,4131.44,802.28,302.88,302.88,1144.32,5071.64,1447.20,1105.16,77.80,Harvested,6518.84,28599.21,4.39,3439.76,4.56,0.00,0.00,0.00,4.56,4.56,0.00,0.32,0.07,20.02,1.55,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0201500000,Cagayan,PH0201518000,Pamplona,3880.04,0.00,0.00,1.36,568.96,2368.92,624.96,315.84,0.00,0.00,0.84,569.48,2237.76,756.12,315.84,315.84,1177.00,2387.20,1492.84,1071.96,61.53,Harvested,3880.04,17430.99,4.49,1070.60,3.20,0.00,0.00,0.00,3.20,3.20,0.00,0.21,0.08,14.37,1.07,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0201500000,Cagayan,PH0201519000,Peñablanca,1276.76,0.00,0.00,0.08,145.56,561.00,390.04,180.08,0.00,0.00,0.08,145.56,420.24,530.80,180.08,180.08,693.92,402.76,874.00,710.88,31.55,Ripening,1276.76,4086.85,3.20,396.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Flooded Rice Detected,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0201500000,Cagayan,PH0201520000,Piat,1803.64,0.00,0.00,0.00,541.80,826.64,204.12,231.08,0.00,0.00,0.00,541.80,748.20,282.56,231.08,231.08,428.00,1144.56,659.08,513.64,63.46,Harvested,1803.64,6778.08,3.76,813.52,0.88,0.00,0.00,0.00,0.88,0.88,0.00,0.13,0.05,3.31,0.44,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
