prism_psa_region_code,prism_region,prism_psa_province_code,province,prism_psa_municipal_code,municipality,prism_rice_area_2026s1,prism_planted_sep_2025,prism_planted_oct_2025,prism_planted_nov_2025,prism_planted_dec_2025,prism_planted_jan_2026,prism_planted_feb_2026,prism_planted_mar_2026,prism_harvested_dec_2025,prism_harvested_jan_2026,prism_harvested_feb_2026,prism_harvested_mar_2026,prism_harvested_apr_2026,prism_harvested_may_2026,prism_harvested_jun_2026,prism_growth_reproductive_ha,prism_growth_ripening_ha,prism_growth_harvested_ha,prism_standing_crop_area,prism_upcoming_harvest_area,prism_harvest_progress_pct,prism_dominant_growth_phase,prism_yield_area_ha,prism_production_mt,prism_yield_mt_ha,prism_flooded_nonrice_ha,prism_flooded_vegetative_ha,prism_flooded_reproductive_ha,prism_flooded_ripening_ha,prism_flooded_harvested_ha,prism_flooded_standing_crop_ha,prism_flooded_rice_total_ha,prism_flooded_reproductive_ripening_ha,prism_flooded_standing_share_pct,prism_flooded_rice_share_pct,prism_expected_production_at_risk_mt,prism_flood_damage_priority_score,prism_flood_damage_priority_class,prism_damage_event,prism_source_date
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203110000,Dinapigue,168.28,0.00,0.00,3.04,11.00,120.68,28.36,5.20,0.00,0.00,2.52,11.52,93.48,55.56,5.20,5.20,92.12,70.96,97.32,60.76,42.17,Ripening,168.28,684.71,4.07,42.76,0.28,0.00,0.00,0.00,0.28,0.28,0.00,0.29,0.17,1.14,0.63,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203111000,Divilacan,90.96,0.00,0.00,1.16,2.56,53.92,26.40,6.92,0.00,0.00,0.44,3.28,46.04,34.28,6.92,6.92,44.28,39.76,51.20,41.20,43.71,Ripening,90.96,326.97,3.59,77.56,0.08,0.00,0.00,0.00,0.08,0.08,0.00,0.16,0.09,0.29,0.33,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203112000,Echague,5666.56,0.00,0.00,276.20,2249.68,2917.08,178.80,44.80,0.00,0.00,190.40,2335.48,2660.84,435.04,44.80,44.80,747.72,4874.04,792.52,479.84,86.01,Harvested,5666.56,24820.89,4.38,1212.36,29.40,0.00,0.00,0.00,29.40,29.40,0.00,3.71,0.52,128.77,13.32,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203113000,Gamu,4097.04,0.00,0.00,988.76,2305.60,731.00,38.12,33.56,0.00,0.00,580.48,2713.88,661.12,108.00,33.56,33.56,190.20,3873.28,223.76,141.56,94.54,Harvested,4097.04,19528.66,4.77,1381.36,79.80,0.20,0.00,0.00,80.00,80.00,0.20,35.75,1.95,381.60,36.19,Moderate,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203114000,Ilagan City (Capital),5691.72,0.00,0.00,467.96,1924.92,2878.04,322.52,98.28,0.00,0.00,252.92,2139.96,2557.08,643.48,98.28,98.28,1132.64,4460.80,1230.92,741.76,78.37,Harvested,5691.72,25415.92,4.47,3427.44,38.20,0.08,0.00,0.00,38.28,38.28,0.08,3.11,0.67,171.11,13.92,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203115000,Jones,1284.40,0.00,0.00,43.92,312.04,868.24,33.84,26.36,0.00,0.00,30.32,325.64,734.28,167.80,26.36,26.36,331.64,926.40,358.00,194.16,72.13,Harvested,1284.40,5154.26,4.01,436.04,0.76,0.00,0.00,0.00,0.76,0.76,0.00,0.21,0.06,3.05,0.58,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203116000,Luna,2855.24,0.00,0.00,216.52,1258.60,1309.20,42.24,28.68,0.00,0.00,91.00,1384.12,1266.20,85.24,28.68,28.68,208.52,2618.04,237.20,113.92,91.69,Harvested,2855.24,13681.85,4.79,998.36,33.48,0.16,0.00,0.00,33.64,33.64,0.16,14.18,1.18,161.14,26.81,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203117000,Maconacon,119.28,0.00,0.00,3.92,5.44,49.44,42.16,18.32,0.00,0.00,1.68,7.68,34.48,57.12,18.32,18.32,69.48,31.48,87.80,75.44,26.39,Ripening,119.28,372.81,3.13,41.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Flooded Rice Detected,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203119000,Mallig,5929.08,0.00,0.00,61.24,1964.24,3641.36,185.36,76.88,0.00,0.00,36.60,1988.88,3405.88,420.84,76.88,76.88,897.56,4954.64,974.44,497.72,83.57,Harvested,5929.08,27860.69,4.70,609.24,5.96,0.00,0.00,0.00,5.96,5.96,0.00,0.61,0.10,28.01,2.43,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203120000,Naguilian,1902.28,0.00,0.00,147.40,868.16,839.16,30.96,16.60,0.00,0.00,67.88,947.68,789.08,81.04,16.60,16.60,169.88,1715.80,186.48,97.64,90.20,Harvested,1902.28,8442.85,4.44,728.20,13.60,0.00,0.00,0.00,13.60,13.60,0.00,7.29,0.71,60.38,17.32,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203121000,Palanan,191.72,0.00,0.00,4.00,33.04,141.92,9.72,3.04,0.00,0.00,1.68,35.36,132.48,19.16,3.04,3.04,30.72,157.96,33.76,22.20,82.39,Harvested,191.72,743.44,3.88,338.20,0.32,0.00,0.00,0.00,0.32,0.32,0.00,0.95,0.17,1.24,1.96,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203122000,Quezon,6332.16,0.00,0.00,50.84,927.08,4748.64,480.80,124.80,0.00,0.00,41.60,936.32,4126.32,1103.12,124.80,124.80,1921.68,4285.68,2046.48,1227.92,67.68,Harvested,6332.16,28627.89,4.52,239.72,0.96,0.00,0.00,0.00,0.96,0.96,0.00,0.05,0.02,4.34,0.29,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203123000,Quirino,4987.16,0.00,0.00,602.88,2831.48,1423.84,91.32,37.64,0.00,0.00,351.44,3082.92,1356.44,158.72,37.64,37.64,331.00,4618.52,368.64,196.36,92.61,Harvested,4987.16,23323.60,4.68,1293.68,33.40,0.08,0.00,0.00,33.48,33.48,0.08,9.08,0.67,156.69,24.93,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203124000,Ramon,8429.52,3.04,1.80,498.48,5364.60,2430.76,76.68,54.16,3.04,1.80,213.80,5649.28,2340.52,166.92,54.16,54.16,277.36,8098.00,331.52,221.08,96.07,Harvested,8429.52,41527.95,4.93,2228.44,123.52,0.16,0.00,0.00,123.68,123.68,0.16,37.31,1.47,609.74,45.11,Moderate,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203125000,Reina Mercedes,1289.68,0.00,0.00,37.76,617.64,593.92,30.00,10.36,0.00,0.00,29.12,626.28,578.48,45.44,10.36,10.36,85.68,1193.64,96.04,55.80,92.55,Harvested,1289.68,6128.38,4.75,474.72,5.40,0.00,0.00,0.00,5.40,5.40,0.00,5.62,0.42,25.65,12.34,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203126000,Roxas,7235.60,0.00,0.00,136.36,3309.64,3643.64,117.72,28.24,0.00,0.00,81.80,3364.20,3484.80,276.56,28.24,28.24,537.24,6670.12,565.48,304.80,92.18,Harvested,7235.60,35528.46,4.91,1302.00,22.88,0.04,0.00,0.00,22.92,22.92,0.04,4.05,0.32,112.54,12.76,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203127000,San Agustin,823.80,0.00,0.00,8.00,249.76,536.96,20.20,8.88,0.00,0.00,4.44,253.32,484.16,73.00,8.88,8.88,144.92,670.00,153.80,81.88,81.33,Harvested,823.80,3585.37,4.35,255.16,1.84,0.00,0.00,0.00,1.84,1.84,0.00,1.20,0.22,8.00,2.76,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203128000,San Guillermo,13.68,0.00,0.00,0.00,2.52,11.00,0.08,0.08,0.00,0.00,0.00,2.52,9.24,1.84,0.08,0.08,2.20,11.40,2.28,1.92,83.33,Harvested,13.68,55.95,4.09,16.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Flooded Rice Detected,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203129000,San Isidro,5141.44,0.00,0.00,353.88,3427.08,1286.20,36.24,38.04,0.00,0.00,96.76,3684.20,1244.08,78.36,38.04,38.04,128.92,4974.48,166.96,116.40,96.75,Harvested,5141.44,24950.48,4.85,2695.24,155.48,0.20,0.00,0.00,155.68,155.68,0.20,93.24,3.03,755.05,51.56,High,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203130000,San Manuel,8398.96,0.80,0.08,73.52,3601.00,4631.28,67.68,24.60,0.80,0.08,33.68,3640.84,4529.80,169.16,24.60,24.60,506.80,7867.56,531.40,193.76,93.67,Harvested,8398.96,42094.66,5.01,1257.32,9.52,0.12,0.00,0.00,9.64,9.64,0.12,1.81,0.11,48.30,5.59,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203131000,San Mariano,478.76,0.00,0.00,16.36,106.20,298.80,52.00,5.40,0.00,0.00,12.84,109.72,246.44,104.36,5.40,5.40,135.40,337.96,140.80,109.76,70.59,Harvested,478.76,1946.98,4.07,590.16,1.88,0.04,0.00,0.00,1.92,1.92,0.04,1.36,0.40,7.81,3.11,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203132000,San Mateo,8674.16,2.60,3.96,2507.92,4325.20,1586.04,109.12,139.32,2.60,3.96,1808.72,5024.40,1491.16,204.00,139.32,139.32,325.60,8209.24,464.92,343.32,94.64,Harvested,8674.16,40076.96,4.62,2916.48,243.56,1.16,0.00,0.00,244.72,244.72,1.16,52.64,2.82,1130.61,69.39,High,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203133000,San Pablo,704.96,0.00,0.00,37.16,61.16,422.08,146.80,37.76,0.00,0.00,20.28,78.04,318.48,250.40,37.76,37.76,359.12,308.08,396.88,288.16,43.70,Ripening,704.96,3016.97,4.28,955.24,0.12,0.00,0.00,0.00,0.12,0.12,0.00,0.03,0.02,0.51,0.08,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203134000,Santa Maria,978.20,0.00,0.00,108.44,234.52,476.08,100.00,59.16,0.00,0.00,55.20,287.76,408.64,167.44,59.16,59.16,258.00,661.04,317.16,226.60,67.58,Harvested,978.20,4096.16,4.19,1036.00,1.68,0.00,0.00,0.00,1.68,1.68,0.00,0.53,0.17,7.04,1.40,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203136000,Santo Tomas,1490.88,0.00,0.00,165.24,423.52,742.40,114.64,45.08,0.00,0.00,79.28,509.48,676.32,180.72,45.08,45.08,319.92,1125.88,365.00,225.80,75.52,Harvested,1490.88,6323.98,4.24,1126.16,1.16,0.00,0.00,0.00,1.16,1.16,0.00,0.32,0.08,4.92,0.87,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203137000,Tumauini,4441.96,0.00,0.00,123.88,895.52,2997.24,314.92,110.40,0.00,0.00,57.64,961.76,2569.36,742.80,110.40,110.40,1154.64,3176.92,1265.04,853.20,71.52,Harvested,4441.96,19359.93,4.36,1847.12,6.40,0.00,0.00,0.00,6.40,6.40,0.00,0.51,0.14,27.90,2.30,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0205000000,Nueva Vizcaya,PH0205015000,Alfonso Castaneda,421.12,63.04,18.04,55.00,66.88,161.60,28.76,27.80,63.04,18.04,51.80,70.08,130.72,59.64,27.80,27.80,89.28,304.04,117.08,87.44,72.20,Harvested,421.12,1438.10,3.41,4.40,0.04,0.00,0.00,0.00,0.04,0.04,0.00,0.03,0.01,0.14,0.08,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0205000000,Nueva Vizcaya,PH0205001000,Ambaguio,28.68,0.00,0.00,1.84,2.44,13.24,6.04,5.12,0.00,0.00,1.60,2.68,8.76,10.52,5.12,5.12,13.56,10.00,18.68,15.64,34.87,Ripening,28.68,102.23,3.56,4.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Flooded Rice Detected,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0205000000,Nueva Vizcaya,PH0205002000,Aritao,2200.36,0.00,0.00,62.12,248.76,970.92,615.52,303.04,0.00,0.00,57.96,252.92,698.60,887.84,303.04,303.04,1137.04,760.28,1440.08,1190.88,34.55,Ripening,2200.36,9587.40,4.36,13.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Flooded Rice Detected,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0205000000,Nueva Vizcaya,PH0205003000,Bagabag,4206.92,889.20,1374.16,907.52,444.56,425.36,87.08,79.04,889.20,1374.16,808.24,543.84,363.48,148.96,79.04,79.04,225.72,3902.16,304.76,228.00,92.76,Harvested,4206.92,16181.00,3.85,267.68,17.60,0.92,0.00,0.00,18.52,18.52,0.92,6.08,0.44,71.30,15.83,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0205000000,Nueva Vizcaya,PH0205004000,Bambang,3660.24,0.00,0.00,264.28,459.92,1593.88,730.00,612.16,0.00,0.00,243.24,480.96,1176.32,1147.56,612.16,612.16,1499.08,1549.00,2111.24,1759.72,42.32,Harvested,3660.24,15962.87,4.36,122.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Flooded Rice Detected,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0205000000,Nueva Vizcaya,PH0205005000,Bayombong (Capital),2413.88,206.84,406.16,548.40,293.84,553.68,227.60,177.36,206.84,406.16,519.52,322.72,454.88,326.40,177.36,177.36,419.28,1817.24,596.64,503.76,75.28,Harvested,2413.88,10117.07,4.19,184.60,4.88,0.12,0.00,0.00,5.00,5.00,0.12,0.84,0.21,20.95,2.68,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0205000000,Nueva Vizcaya,PH0205006000,Diadi,194.68,0.00,0.04,24.40,23.44,100.60,27.16,19.04,0.00,0.04,22.56,25.28,74.40,53.36,19.04,19.04,72.60,103.04,91.64,72.40,52.93,Harvested,194.68,677.27,3.48,18.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Flooded Rice Detected,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0205000000,Nueva Vizcaya,PH0205007000,Dupax Del Norte,1907.08,0.00,0.00,69.44,325.64,1167.64,178.84,165.52,0.00,0.00,62.12,332.96,967.12,379.36,165.52,165.52,535.28,1206.28,700.80,544.88,63.25,Harvested,1907.08,9735.91,5.11,47.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Flooded Rice Detected,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0205000000,Nueva Vizcaya,PH0205008000,Dupax Del Sur,921.24,0.00,0.00,37.28,111.72,482.80,161.84,127.60,0.00,0.00,34.36,114.64,375.84,268.80,127.60,127.60,371.00,422.64,498.60,396.40,45.88,Harvested,921.24,4378.60,4.75,6.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Flooded Rice Detected,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0205000000,Nueva Vizcaya,PH0205009000,Kasibu,917.96,0.00,0.00,18.84,53.60,388.76,314.56,142.20,0.00,0.00,15.28,57.16,269.80,433.52,142.20,142.20,529.76,246.00,671.96,575.72,26.80,Ripening,917.96,3497.03,3.81,4.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Flooded Rice Detected,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0205000000,Nueva Vizcaya,PH0205010000,Kayapa,57.96,0.00,0.00,7.60,7.68,16.48,7.52,18.68,0.00,0.00,6.96,8.32,12.84,11.16,18.68,18.68,15.48,23.80,34.16,29.84,41.06,Harvested,57.96,177.58,3.06,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Flooded Rice Detected,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0205000000,Nueva Vizcaya,PH0205011000,Quezon,659.52,0.00,0.00,28.72,56.32,379.36,120.52,74.60,0.00,0.00,25.64,59.40,288.08,211.80,74.60,74.60,293.36,291.56,367.96,286.40,44.21,Ripening,659.52,3145.58,4.77,110.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Flooded Rice Detected,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0205000000,Nueva Vizcaya,PH0205012000,Santa Fe,120.16,0.00,0.00,10.40,20.24,52.28,18.04,19.20,0.00,0.00,9.12,21.52,38.44,31.88,19.20,19.20,46.96,54.00,66.16,51.08,44.94,Harvested,120.16,402.67,3.35,1.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Flooded Rice Detected,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0205000000,Nueva Vizcaya,PH0205013000,Solano,4377.28,443.40,1523.12,1333.08,587.92,392.16,56.56,41.04,443.40,1523.12,1234.04,686.96,337.68,111.04,41.04,41.04,165.64,4170.60,206.68,152.08,95.28,Harvested,4377.28,18266.32,4.17,129.52,21.96,0.48,0.00,0.00,22.44,22.44,0.48,10.86,0.51,93.57,24.49,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0205000000,Nueva Vizcaya,PH0205014000,Villaverde,1923.16,353.84,440.76,496.04,283.96,271.04,37.48,40.04,353.84,440.76,450.16,329.84,222.44,86.08,40.04,40.04,134.24,1748.88,174.28,126.12,90.94,Harvested,1923.16,7996.86,4.16,23.32,4.76,0.24,0.00,0.00,5.00,5.00,0.24,2.87,0.26,20.80,6.74,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0205700000,Quirino,PH0205701000,Aglipay,1023.96,0.00,0.00,33.96,224.88,671.28,49.48,44.36,0.00,0.00,28.36,230.48,549.52,171.24,44.36,44.36,318.48,661.12,362.84,215.60,64.57,Harvested,1023.96,3614.48,3.53,84.56,0.48,0.00,0.00,0.00,0.48,0.48,0.00,0.13,0.05,1.69,0.36,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0205700000,Quirino,PH0205702000,Cabarroguis (Capital),1340.28,0.00,0.00,34.36,260.40,915.76,93.16,36.60,0.00,0.00,29.60,265.16,772.16,236.76,36.60,36.60,372.20,931.48,408.80,273.36,69.50,Harvested,1340.28,5619.86,4.19,103.60,1.40,0.04,0.00,0.00,1.44,1.44,0.04,0.35,0.11,6.03,0.99,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0205700000,Quirino,PH0205703000,Diffun,3973.60,0.00,0.00,162.84,1098.16,2400.80,208.48,103.32,0.00,0.00,135.12,1125.88,2114.68,494.60,103.32,103.32,894.92,2975.36,998.24,597.92,74.88,Harvested,3973.60,16985.19,4.27,261.88,8.76,0.12,0.00,0.00,8.88,8.88,0.12,0.89,0.22,37.92,3.56,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0205700000,Quirino,PH0205704000,Maddela,1060.36,2.92,1.00,29.76,208.52,696.44,86.56,35.16,2.92,1.00,20.88,217.40,543.08,239.92,35.16,35.16,374.12,651.08,409.28,275.08,61.40,Harvested,1060.36,4105.84,3.87,255.80,1.84,0.00,0.00,0.00,1.84,1.84,0.00,0.45,0.17,7.12,1.26,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0205700000,Quirino,PH0205706000,Nagtipunan,62.80,5.32,2.84,5.92,8.04,26.76,9.52,4.40,5.32,2.84,4.44,9.52,17.36,18.92,4.40,4.40,24.72,33.68,29.12,23.32,53.63,Harvested,62.80,203.46,3.24,121.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Flooded Rice Detected,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0205700000,Quirino,PH0205705000,Saguday,3296.92,0.00,0.00,52.28,785.24,2234.20,150.52,74.68,0.00,0.00,35.00,802.52,2006.68,378.04,74.68,74.68,650.12,2572.12,724.80,452.72,78.02,Harvested,3296.92,13704.83,4.16,266.72,2.04,0.00,0.00,0.00,2.04,2.04,0.00,0.28,0.06,8.49,0.97,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
