facility_id,facility_name,facility_type,province,district,municipality,barangay,latitude,longitude,status,capacity,service_area_ha,project_amount,year_granted,year_finished,year_constructed,source_layer,source_folder,remarks
IRR-KML-0833,PISOS_SPIS,PISOS,Cagayan,2nd District,Santo Niño (Faire),Mapitac,17.8512440,121.5158380,Not specified in source,,7.5744,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0561; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0834,PISOS_SPIS,PISOS,Cagayan,2nd District,Santo Niño (Faire),Masical,17.8312680,121.5661570,Not specified in source,,5.5146,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0305; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0835,PISOS_SPIS,PISOS,Cagayan,2nd District,Santo Niño (Faire),San Manuel,17.9015210,121.5855300,Not specified in source,,5.4,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0431; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0836,PISOS_SPIS,PISOS,Cagayan,2nd District,Santo Niño (Faire),Namuccayan,17.9184180,121.5799500,Not specified in source,,6.5761,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0831; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0837,PISOS_SPIS,PISOS,Cagayan,2nd District,Santo Niño (Faire),Namuccayan,17.9177380,121.5803920,Not specified in source,,5.2511,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0833; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0838,PISOS_SPIS,PISOS,Cagayan,2nd District,Santo Niño (Faire),Centro Sur,17.8797650,121.5612400,Not specified in source,,5.5964,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0307; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0839,PISOS_SPIS,PISOS,Cagayan,2nd District,Santo Niño (Faire),Centro Sur,17.8821750,121.5663920,Not specified in source,,4.4,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0306; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0840,PISOS_SPIS,PISOS,Cagayan,2nd District,Santo Niño (Faire),Centro Sur,17.8762000,121.5611980,Not specified in source,,6,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0830; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0841,PISOS_SPIS,PISOS,Cagayan,2nd District,Santo Niño (Faire),Centro Norte,17.9007800,121.5760830,Not specified in source,,5.164,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0433; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0842,PISOS_SPIS,PISOS,Cagayan,2nd District,Santo Niño (Faire),Dungao,17.9375500,121.6038920,Not specified in source,,5.7634,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0834; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
